symbol,side,entry_time_ct,exit_time_ct,hold_min,entry,exit,peak_open_pnl,peak_open_pct,exit_pnl,exit_pct,giveback_pnl,giveback_pct,reason
PIEVERSEUSDT,BUY,2026-04-20 00:07:49,2026-04-20 01:02:25,54.6,1.4002,1.396,3.04,15.18,-0.07,-0.3,3.11,15.48,SL
SKYAIUSDT,SELL,2026-04-20 04:00:20,2026-04-20 04:18:27,18.1,0.162642,0.164435,2.65,13.3,-0.23,-1.1,2.88,14.4,SL
SKYAIUSDT,SELL,2026-04-20 07:26:03,2026-04-20 07:32:00,5.9,0.162331,0.178333,0.47,2.36,-1.98,-9.86,2.45,12.22,SL
RAVEUSDT,BUY,2026-04-20 05:49:19,2026-04-20 06:06:08,16.8,0.778776,0.707756,0.37,1.84,-1.83,-9.12,2.2,10.96,SL
RAVEUSDT,SELL,2026-04-19 19:34:02,2026-04-19 20:43:47,69.8,0.525525,0.535882,1.73,8.71,-0.4,-1.97,2.13,10.68,SL
SKYAIUSDT,SELL,2026-04-20 03:56:46,2026-04-20 03:57:52,1.1,0.160014,0.173972,0.13,0.66,-1.77,-8.72,1.9,9.38,SL
RAVEUSDT,SELL,2026-04-19 20:45:20,2026-04-19 20:50:05,4.8,0.513877,0.557445,0.05,0.25,-1.7,-8.48,1.75,8.73,SL
RAVEUSDT,SELL,2026-04-20 03:13:27,2026-04-20 03:22:48,9.4,0.5018,0.545542,-0.05,-0.24,-1.75,-8.72,1.7,8.48,SL
RAVEUSDT,SELL,2026-04-19 23:41:25,2026-04-20 00:56:14,74.8,0.569986,0.580389,1.27,6.36,-0.37,-1.83,1.64,8.19,SL
ASTEROIDUSDT,BUY,2026-04-20 16:37:14,2026-04-20 16:45:52,8.6,0.000396,0.000364,-0.03,-0.16,-1.64,-8.14,1.61,7.98,SL
RAVEUSDT,SELL,2026-04-19 21:56:35,2026-04-19 23:00:50,64.3,0.571016,0.578177,1.3,6.47,-0.26,-1.25,1.56,7.72,SL
SKYAIUSDT,SELL,2026-04-20 06:32:25,2026-04-20 06:50:02,17.6,0.161985,0.162533,1.39,6.95,-0.08,-0.34,1.47,7.29,SL
PIEVERSEUSDT,BUY,2026-04-19 23:55:17,2026-04-20 00:06:27,11.2,1.3403,1.4614,3.1,15.45,1.8,9.03,1.3,6.42,SL
SKYAIUSDT,SELL,2026-04-20 06:20:55,2026-04-20 06:29:54,9.0,0.160686,0.155334,1.96,9.8,0.66,3.33,1.3,6.47,SL
ASTEROIDUSDT,BUY,2026-04-20 09:30:05,2026-04-20 10:08:56,38.9,0.000354,0.000341,0.54,2.7,-0.75,-3.69,1.29,6.39,SL
RAVEUSDT,SELL,2026-04-19 20:55:19,2026-04-19 21:03:02,7.7,0.524335,0.558516,-0.11,-0.55,-1.31,-6.52,1.2,5.97,SL
PIEVERSEUSDT,BUY,2026-04-19 22:01:22,2026-04-19 22:13:22,12.0,1.3649,1.2482,-0.59,-2.87,-1.76,-8.55,1.17,5.68,SL
PIEVERSEUSDT,SELL,2026-04-20 14:35:19,2026-04-20 15:13:59,38.7,0.859856,0.861476,1.07,5.33,-0.05,-0.19,1.12,5.52,SL
RAVEUSDT,BUY,2026-04-20 04:56:35,2026-04-20 05:00:00,3.4,0.757802,0.69446,-0.57,-2.85,-1.67,-8.36,1.1,5.51,SL
PIEVERSEUSDT,SELL,2026-04-20 02:29:31,2026-04-20 02:40:25,10.9,0.850745,0.921948,-0.63,-3.2,-1.67,-8.37,1.04,5.17,SL
